"case";"tech";"functional.group";"techapp.score";"Water.supply";"Energy.supply";"Frequency.of.O&M";"Temperature.range";"Flooding";"Vehicular.access ";"Slope";"Soil.type/hydraulic.conductivity";"Groundwater.depth";"Excavation";"Construction.skills ";"Design.skills ";"O&M.skills";"Management";"Spare.parts.supply"
"Katarniya";"vermi.composter";"S";0.938734042125161;NA;NA;NA;0.722122533380184;0.999907627531886;0.93762597725253;NA;NA;NA;NA;1;1;NA;0.94885;1
"Katarniya";"septic.tank";"S";0.983467300494542;NA;NA;NA;0.951600123752158;1;0.935114910675277;NA;NA;NA;NA;1;1;NA;1;1
"Katarniya";"motorized.transport.urine";"C";0.643863483689782;NA;NA;NA;1;NA;0.8546;1;NA;NA;NA;NA;NA;NA;0.15225;0.85045
"Katarniya";"humanpowered.transport.urine";"C";0.999812048666589;NA;NA;NA;1;NA;0.999060596523595;1;NA;NA;NA;NA;NA;NA;1;1
"Katarniya";"motorized.transport.dry";"C";0.646237700398817;NA;NA;NA;1;NA;0.8582;0.999947006834379;NA;NA;NA;NA;NA;NA;0.15455;0.84982
"Katarniya";"humanpowered.transport.dry";"C";0.999763355025852;NA;NA;NA;1;NA;0.998817335005193;1;NA;NA;NA;NA;NA;NA;1;1
"Katarniya";"conventional.sewer";"C";0.701820147460729;NA;NA;NA;1;0.999969617293775;0.886827422501976;0.723972910375199;NA;0.996698014553113;1;0.501961053424841;0.833389470166586;NA;0.1083;1
"Katarniya";"solidsfree.sewer";"C";0.827256343583921;NA;NA;NA;1;1;0.939799968352951;0.648848296938617;NA;1;1;0.49562161747741;0.831463821945745;NA;0.59735;1
"Katarniya";"urine.bank";"T";0.987554829230274;NA;NA;NA;0.9844;NA;0.94231411705289;NA;NA;NA;NA;1;1;NA;1;1
"Katarniya";"struvite.production";"T";0.944931744497624;NA;NA;NA;0.870256590304182;NA;0.93827961400422;NA;NA;NA;NA;0.916057983937577;1;NA;0.9517;1
"Katarniya";"drying.bed";"T";0.781258030118155;NA;NA;NA;0.904272578502021;1;0.93773681011784;0.997999995732821;NA;1;1;1;1;NA;0.1001;1
"Katarniya";"faecesdrying.bed";"T";0.78018384722012;NA;NA;NA;0.904011382963674;1;0.940329387928308;0.997882500105771;NA;1;1;1;1;NA;0.0985;1
"Katarniya";"sedimentation.pond";"T";0.743105917287885;NA;NA;NA;0.9776;0.999909583605081;0.938145003219921;0.99797613294971;NA;NA;NA;1;1;NA;0.1016;1
"Katarniya";"abr";"T";0.9053306532451;NA;NA;NA;0.871709578320522;0.999873612963408;0.93860455920059;1;NA;NA;NA;0.917951799484947;1;NA;0.60095;1
"Katarniya";"sbr";"T";0.674198356486721;NA;0.919169985212123;NA;0.973744488645609;0.999941863012686;0.938277056651156;1;NA;NA;NA;0.500390491104069;0.829714008287729;NA;0.1014;0.81408
"Katarniya";"activated.sludge";"T";0.735190083849862;NA;0.918705581328957;NA;0.973162365757878;0.999976243886724;0.942188115920652;0.950506520757398;NA;NA;NA;1;1;NA;0.0967;0.81045
"Katarniya";"cocomposting";"T";0.964762358068931;NA;NA;NA;0.801067181386822;1;0.936901346561752;1;NA;NA;NA;1;1;NA;1;1
"Katarniya";"biogas.reactor";"T";0.889412631202974;NA;NA;NA;0.53609466534753;1;0.939048022178054;1;NA;NA;NA;0.914765029813989;1;NA;1;0.85033
"Katarniya";"wsp";"T";0.769047070866685;NA;NA;NA;0.93543666968903;1;0.9372827016072;0.950308110360437;NA;NA;NA;1;1;NA;0.14685;1
"Katarniya";"constructedwetland";"T";0.927940748910569;NA;NA;NA;0.90961510032273;1;0.938470232817279;0.997980976805369;NA;1;NA;1;1;NA;0.5988;1
"Katarniya";"application.urine";"D";0.975634081728641;NA;NA;NA;0.86243677012359;0.999987368069217;NA;NA;NA;NA;NA;1;1;NA;1;1
"Katarniya";"application.struvite";"D";0.97537095358729;NA;NA;NA;0.861108581984927;0.999910184308141;NA;NA;NA;NA;NA;1;1;NA;1;1
"Katarniya";"application.faeces";"D";0.96708487993285;NA;NA;NA;0.860531766999731;1;NA;NA;NA;NA;NA;1;1;NA;0.95065;1
"Katarniya";"application.compost";"D";0.96671094103886;NA;NA;NA;0.858446964297534;1;NA;NA;NA;NA;NA;1;1;NA;0.95075;1
"Katarniya";"application.stabilizedsludge";"D";0.975566961639169;NA;NA;NA;0.86206994645274;1;NA;NA;NA;NA;NA;1;1;NA;1;1
"Katarniya";"biogas.combustion";"D";0.970978882762971;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;0.91693662667769;1;NA;1;0.94126
"Katarniya";"leach.field";"D";0.926269177156696;NA;NA;NA;1;1;NA;1;0.5496;1;1;0.917563484609261;1;NA;0.94925;0.9712
"Katarniya";"soak.pit";"D";0.932538602513787;NA;NA;NA;1;0.999834476164728;NA;0.999982472915244;0.55125;1;1;1;1;NA;0.9024;1
"Katarniya";"irrigation";"D";0.96863615083617;NA;NA;NA;0.99347242195006;0.999983733117208;NA;1;NA;NA;NA;NA;0.831410087773697;NA;1;1
