"case";"tech";"functional.group";"techapp.score";"Water.supply";"Energy.supply";"Frequency.of.O&M";"Temperature.range";"Flooding";"Vehicular.access ";"Slope";"Soil.type/hydraulic.conductivity";"Groundwater.depth";"Excavation";"Construction.skills ";"Design.skills ";"O&M.skills";"Management";"Spare.parts.supply"
"Katarniya";"motorized.transport.dry";"C";0.948239279149694;NA;NA;1;1;NA;0.855;1;NA;NA;NA;NA;NA;1;NA;0.85024
"Katarniya";"humanpowered.transport.dry";"C";0.999817734010076;NA;NA;1;1;NA;0.998933711666157;0.999973161969501;NA;NA;NA;NA;NA;1;NA;1
"Katarniya";"conventional.sewer";"C";0.851208509351005;NA;NA;1;1;1;0.890592078513031;0.731786779441364;NA;0.996360420260483;1;0.501268965227925;0.835748645186293;0.624840496774328;NA;1
"Katarniya";"solidsfree.sewer";"C";0.875395987783932;NA;NA;1;1;0.999986411833763;0.939745870337074;0.645315626586761;NA;1;1;0.497780439330591;0.835284501666247;0.917489521697552;NA;1
"Katarniya";"urine.bank";"T";0.989361776450699;NA;NA;1;0.9875;NA;0.939612506574976;NA;NA;NA;NA;1;1;1;NA;1
"Katarniya";"struvite.production";"T";0.958758006354142;NA;NA;1;0.86405485292939;NA;0.939769643459085;NA;NA;NA;NA;0.917065381737936;1;1;NA;1
"Katarniya";"drying.bed";"T";0.985845733996784;NA;NA;1;0.912149703840333;1;0.939105714264926;0.997971115623271;NA;1;1;1;1;1;NA;1
"Katarniya";"faecesdrying.bed";"T";0.985464746876895;NA;NA;1;0.910091480754885;0.999955806711316;0.937259970690731;0.997989785582625;NA;1;1;1;1;1;NA;1
"Katarniya";"sedimentation.pond";"T";0.99048950580715;NA;NA;1;0.9786;1;0.939441104143018;0.998100187972763;NA;NA;NA;1;1;1;NA;1
"Katarniya";"abr";"T";0.968311925410041;NA;NA;1;0.870870924825618;1;0.938467372868016;1;NA;NA;NA;0.915723912072787;1;1;NA;1
"Katarniya";"sbr";"T";0.880534569329925;NA;0.918799200462971;1;0.971908838499682;0.999926154331863;0.937849487864675;1;NA;NA;NA;0.496918003940549;0.831135986171629;1;NA;0.81014
"Katarniya";"activated.sludge";"T";0.957715312214241;NA;0.919091442655648;1;0.971725062483744;1;0.941812334393754;0.95040714294595;NA;NA;NA;1;1;1;NA;0.81206
"Katarniya";"cocomposting";"T";0.968194089806668;NA;NA;1;0.797083962192959;0.999982083279267;0.93791947855023;1;NA;NA;NA;1;1;1;NA;1
"Katarniya";"biogas.reactor";"T";0.901753509106026;NA;NA;1;0.53733076346711;1;0.937382569347474;1;NA;NA;NA;0.917404324315946;1;1;NA;0.85324
"Katarniya";"wsp";"T";0.978110736129752;NA;NA;1;0.934922303850251;1;0.93978023259261;0.950295521298658;NA;NA;NA;1;1;0.98136761998835;NA;1
"Katarniya";"constructedwetland";"T";0.984306022453425;NA;NA;1;0.910775994432716;1;0.939198007717886;0.998004927171317;NA;1;NA;1;1;1;NA;1
"Katarniya";"application.urine";"D";0.979195775902873;NA;NA;1;0.863218287258714;0.999921915480122;NA;NA;NA;NA;NA;1;1;1;NA;1
"Katarniya";"application.struvite";"D";0.978718327861108;NA;NA;1;0.86020913084553;1;NA;NA;NA;NA;NA;1;1;1;NA;1
"Katarniya";"application.faeces";"D";0.979005518962973;NA;NA;1;0.861977600769933;1;NA;NA;NA;NA;NA;1;1;1;NA;1
"Katarniya";"application.compost";"D";0.978051381377103;NA;NA;1;0.856114190240547;1;NA;NA;NA;NA;NA;1;1;1;NA;1
"Katarniya";"application.stabilizedsludge";"D";0.979292595860139;NA;NA;1;0.863748481007083;1;NA;NA;NA;NA;NA;1;1;1;NA;1
"Katarniya";"biogas.combustion";"D";0.975318040556424;NA;NA;1;1;NA;NA;NA;NA;NA;NA;0.916980246438644;1;1;NA;0.93868
"Katarniya";"leach.field";"D";0.937295699028313;NA;NA;1;1;1;NA;1;0.55185;1;1;0.916212813095121;1;1;NA;0.97012
"Katarniya";"soak.pit";"D";0.947014540181742;NA;NA;1;1;0.99998834945038;NA;1;0.54945;1;1;1;1;1;NA;1
"Katarniya";"irrigation";"D";0.973810331017806;NA;NA;1;0.992753027606735;0.999990034212917;NA;1;NA;NA;NA;NA;0.836534296727796;1;NA;1
