case         ; tech              ; techapp.score ; techapp.profile 
arbaminch1   ; double.pit           ;    0.93682 ; odor = 1 ,  precov = 1 ,  drinkexp = 1 ,  waterreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.76 ,  lifetime = 0.89122 ,  climate = 1 ,  flooding = 0.767 ,  area = 0.84855 ,  access = 1 ,  slope = 1 ,  soil = 0.5515 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.855 ,  relconstraints = 1 
arbaminch1   ; biogas.reactor       ;    0.93159 ; odor = 1 ,  energyrecov = 1 ,  precov = 0.512 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.521 ,  lifetime = 1 ,  temp = 1 ,  flooding = 1 ,  area = 0.653 ,  access = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.809 
arbaminch1   ; vf.constructed.wetland ;    0.93027 ; odor = 1 ,  energyrecov = 1 ,  precov = 1 ,  waterreq = 1 ,  energyreq = 0.776 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.494 ,  lifetime = 1 ,  temp = 1 ,  flooding = 1 ,  area = 0.76 ,  access = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.647 ,  relconstraints = 0.789 
arbaminch1   ; fossa.alterna        ;    0.92845 ; odor = 1 ,  precov = 0.7545 ,  drinkexp = 1 ,  waterreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.7455 ,  lifetime = 1 ,  climate = 1 ,  flooding = 0.865 ,  area = 0.8449 ,  access = 1 ,  slope = 1 ,  soil = 0.548 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.848 ,  relconstraints = 0.8915 
arbaminch1   ; wsp                  ;    0.92705 ; odor = 1 ,  energyrecov = 1 ,  precov = 1 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.7495 ,  lifetime = 1 ,  temp = 1 ,  flooding = 1 ,  area = 0.765 ,  access = 0.701 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.3815 ,  relconstraints = 0.798 
arbaminch1   ; application.urine    ;    0.92248 ; odor = 0.33 ,  precov = 0.492 ,  drinkexp = 1 ,  concrete = 1 ,  chemical = 1 ,  lifetime = 0.93771 ,  flooding = 1 ,  area = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 
arbaminch1   ; abr                  ;     0.9218 ; odor = 1 ,  energyrecov = 1 ,  precov = 1 ,  waterreq = 0.781 ,  energyreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.7355 ,  lifetime = 1 ,  temp = 1 ,  flooding = 0.8705 ,  area = 0.626 ,  access = 0.73 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.7475 ,  relconstraints = 0.789 
arbaminch1   ; soak.pit             ;    0.91656 ; odor = 1 ,  precov = 0.478 ,  drinkexp = 1 ,  concrete = 1 ,  chemical = 1 ,  lifetime = 1 ,  flooding = 0.727 ,  area = 0.946 ,  slope = 1 ,  soil = 0.805 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.709 
arbaminch1   ; urine.storage.tank   ;    0.91627 ; odor = 0.67 ,  precov = 0.482 ,  drinkexp = 1 ,  waterreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.509 ,  lifetime = 0.94191 ,  climate = 1 ,  flooding = 1 ,  area = 0.98186 ,  access = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.657 
arbaminch1   ; drying.bed           ;    0.91506 ; odor = 0.67 ,  energyrecov = 1 ,  precov = 1 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 1 ,  lifetime = 1 ,  temp = 0.98533 ,  flooding = 1 ,  area = 0.483 ,  access = 0.712 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.281 ,  relconstraints = 1 
arbaminch1   ; pour.flush           ;    0.91424 ; odor = 1 ,  precov = 0.75 ,  normexp = 0.66837 ,  waterreq = 0.802 ,  concrete = 1 ,  lifetime = 1 ,  flooding = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.7505 
arbaminch1   ; septic.tank          ;    0.91388 ; odor = 1 ,  precov = 0.502 ,  drinkexp = 1 ,  waterreq = 0.798 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.751 ,  lifetime = 1 ,  climate = 1 ,  flooding = 0.8705 ,  area = 0.777 ,  access = 0.702 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.791 
arbaminch1   ; motorized.transport  ;    0.91076 ; odor = 0.67 ,  precov = 0.7435 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  omreq = 0.7645 ,  lifetime = 1 ,  area = 1 ,  access = 1 ,  slope = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.4045 ,  relconstraints = 0.9005 ,  popdensity = 1 
arbaminch1   ; simplified.sewer     ;    0.90854 ; odor = 1 ,  precov = 0.746 ,  waterreq = 0.819 ,  energyreq = 1 ,  concrete = 1 ,  omreq = 0.754 ,  lifetime = 1 ,  area = 1 ,  access = 1 ,  slope = 0.85162 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 0.8 ,  orgcapacity = 0.7515 ,  relconstraints = 0.787 ,  popdensity = 0.936 
arbaminch1   ; uddt                 ;    0.90259 ; odor = 1 ,  precov = 0.742 ,  normexp = 0.49762 ,  waterreq = 1 ,  concrete = 1 ,  lifetime = 1 ,  flooding = 0.8595 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.732 ,  relconstraints = 1 
arbaminch1   ; humanpowered.transport ;    0.90035 ; odor = 0.67 ,  precov = 0.7475 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  omreq = 0.76 ,  lifetime = 0.33952 ,  area = 1 ,  access = 1 ,  slope = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.789 ,  popdensity = 1 
arbaminch1   ; solidsfree.sewer     ;    0.88946 ; odor = 1 ,  precov = 0.759 ,  waterreq = 0.815 ,  energyreq = 1 ,  concrete = 1 ,  omreq = 0.765 ,  lifetime = 1 ,  area = 0.598 ,  access = 1 ,  slope = 0.8838 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 0.8 ,  orgcapacity = 0.747 ,  relconstraints = 0.815 ,  popdensity = 0.938 
arbaminch1   ; single.pit           ;    0.87789 ; odor = 0.33 ,  precov = 0.749 ,  drinkexp = 1 ,  waterreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 1 ,  lifetime = 0.83276 ,  climate = 1 ,  flooding = 0.752 ,  area = 0.84541 ,  access = 0.697 ,  slope = 1 ,  soil = 0.5275 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.702 ,  relconstraints = 1 
arbaminch1   ; cistern.flush        ;    0.86545 ; odor = 1 ,  precov = 0.737 ,  normexp = 0.83434 ,  waterreq = 0 ,  concrete = 1 ,  lifetime = 1 ,  flooding = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.814 
arbaminch1   ; struvite.production  ;    0.86156 ; odor = 1 ,  precov = 0.501 ,  drinkexp = 1 ,  concrete = 1 ,  chemical = 0.214 ,  lifetime = 0.92097 ,  flooding = 1 ,  area = 0.747 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.402 
arbaminch1   ; dry.toilet           ;    0.85685 ; odor = 0.33 ,  precov = 0.7515 ,  normexp = 0.50272 ,  waterreq = 1 ,  concrete = 1 ,  lifetime = 1 ,  flooding = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.698 ,  relconstraints = 1 
arbaminch1   ; conventional.sewer   ;    0.84596 ; odor = 1 ,  precov = 0.748 ,  waterreq = 0 ,  energyreq = 0.9045 ,  concrete = 1 ,  omreq = 1 ,  lifetime = 1 ,  area = 1 ,  access = 1 ,  slope = 0.86275 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 0.8 ,  orgcapacity = 0.318 ,  relconstraints = 0.802 ,  popdensity = 0.946 
arbaminch1   ; uasb                 ;    0.84311 ; odor = 0.67 ,  energyrecov = 1 ,  precov = 0.506 ,  waterreq = 0.801 ,  energyreq = 0.795 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.7505 ,  lifetime = 1 ,  temp = 0.821 ,  flooding = 1 ,  area = 0.65 ,  access = 0.69 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 0.8 ,  orgcapacity = 0.28 ,  relconstraints = 0.785 
arbaminch2   ; biogas.combustion    ;    0.99533 ; odor = 1 ,  precov = 1 ,  drinkexp = 1 ,  concrete = 1 ,  chemical = 1 ,  lifetime = 0.9252 ,  flooding = 1 ,  area = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 
arbaminch2   ; application.compost  ;    0.98571 ; odor = 1 ,  precov = 1 ,  drinkexp = 1 ,  concrete = 1 ,  chemical = 1 ,  lifetime = 0.9289 ,  flooding = 1 ,  area = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.8425 
arbaminch2   ; irrigation           ;    0.97397 ; odor = 0.67 ,  precov = 1 ,  drinkexp = 1 ,  concrete = 1 ,  chemical = 1 ,  lifetime = 0.91359 ,  flooding = 1 ,  area = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 
arbaminch2   ; gsap                 ;    0.96355 ; odor = 1 ,  precov = 1 ,  drinkexp = 1 ,  waterreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.7445 ,  lifetime = 1 ,  climate = 1 ,  flooding = 1 ,  area = 0.956 ,  access = 1 ,  slope = 0.93258 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.6015 ,  relconstraints = 1 
arbaminch2   ; urinal               ;    0.95891 ; odor = 0.67 ,  precov = 1 ,  normexp = 0.83698 ,  waterreq = 1 ,  concrete = 1 ,  lifetime = 1 ,  flooding = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 1 
arbaminch2   ; vertical.gardens     ;    0.95717 ; odor = 1 ,  precov = 1 ,  drinkexp = 1 ,  concrete = 1 ,  chemical = 1 ,  lifetime = 0.97377 ,  flooding = 1 ,  area = 0.494 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.847 
arbaminch2   ; biogas.reactor       ;    0.95536 ; odor = 1 ,  energyrecov = 1 ,  precov = 1 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.514 ,  lifetime = 1 ,  temp = 1 ,  flooding = 1 ,  area = 0.694 ,  access = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.81 
arbaminch2   ; application.urine    ;    0.95296 ; odor = 0.33 ,  precov = 1 ,  drinkexp = 1 ,  concrete = 1 ,  chemical = 1 ,  lifetime = 0.91736 ,  flooding = 1 ,  area = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 
arbaminch2   ; cocomposting         ;     0.9507 ; odor = 1 ,  energyrecov = 1 ,  precov = 1 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.7485 ,  lifetime = 1 ,  temp = 1 ,  flooding = 1 ,  area = 0.781 ,  access = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.386 ,  relconstraints = 1 
arbaminch2   ; hf.constructed.wetland ;     0.9463 ; odor = 1 ,  energyrecov = 1 ,  precov = 1 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.7385 ,  lifetime = 1 ,  temp = 0.98615 ,  flooding = 1 ,  area = 0.792 ,  access = 1 ,  slope = 0.491 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.811 
arbaminch2   ; dehydration.vault    ;    0.94466 ; odor = 1 ,  precov = 1 ,  drinkexp = 1 ,  waterreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.759 ,  lifetime = 1 ,  climate = 1 ,  flooding = 1 ,  area = 0.73986 ,  access = 1 ,  slope = 0.93441 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.853 ,  relconstraints = 0.5515 
arbaminch2   ; terra.preta          ;    0.94243 ; odor = 1 ,  precov = 1 ,  drinkexp = 1 ,  waterreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.507 ,  lifetime = 1 ,  climate = 1 ,  flooding = 0.5 ,  area = 0.943 ,  access = 1 ,  slope = 0.93602 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.905 
arbaminch2   ; urine.storage.tank   ;    0.93898 ; odor = 0.67 ,  precov = 1 ,  drinkexp = 1 ,  waterreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.494 ,  lifetime = 0.9275 ,  climate = 1 ,  flooding = 1 ,  area = 0.98048 ,  access = 1 ,  slope = 1 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.6465 
arbaminch2   ; fossa.alterna        ;    0.92303 ; odor = 1 ,  precov = 1 ,  drinkexp = 1 ,  waterreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.7525 ,  lifetime = 1 ,  climate = 1 ,  flooding = 0.5 ,  area = 0.88205 ,  access = 1 ,  slope = 0.9361 ,  soil = 0.554 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.8615 ,  relconstraints = 0.8975 
arbaminch2   ; abr                  ;    0.91537 ; odor = 1 ,  energyrecov = 1 ,  precov = 1 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.741 ,  lifetime = 1 ,  temp = 1 ,  flooding = 0.5 ,  area = 0.716 ,  access = 0.702 ,  slope = 0.94124 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.741 ,  relconstraints = 0.797 
arbaminch2   ; vf.constructed.wetland ;    0.91109 ; odor = 1 ,  energyrecov = 1 ,  precov = 1 ,  waterreq = 1 ,  energyreq = 0.796 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.521 ,  lifetime = 1 ,  temp = 1 ,  flooding = 1 ,  area = 0.772 ,  access = 1 ,  slope = 0.504 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.645 ,  relconstraints = 0.806 
arbaminch2   ; pour.flush           ;    0.90978 ; odor = 1 ,  precov = 0.5 ,  normexp = 0.66935 ,  waterreq = 1 ,  concrete = 1 ,  lifetime = 1 ,  flooding = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.748 
arbaminch2   ; simplified.sewer     ;    0.90809 ; odor = 1 ,  precov = 0.5 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  omreq = 0.736 ,  lifetime = 1 ,  area = 1 ,  access = 1 ,  slope = 0.91448 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 0.8 ,  orgcapacity = 0.743 ,  relconstraints = 0.799 ,  popdensity = 0.945 
arbaminch2   ; wsp                  ;    0.90525 ; odor = 1 ,  energyrecov = 1 ,  precov = 1 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.737 ,  lifetime = 1 ,  temp = 1 ,  flooding = 1 ,  area = 0.782 ,  access = 0.7 ,  slope = 0.493 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.3965 ,  relconstraints = 0.807 
arbaminch2   ; double.pit           ;    0.89729 ; odor = 1 ,  precov = 1 ,  drinkexp = 1 ,  waterreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.7565 ,  lifetime = 0.89285 ,  climate = 1 ,  flooding = 0 ,  area = 0.85992 ,  access = 1 ,  slope = 0.93535 ,  soil = 0.5465 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.852 ,  relconstraints = 1 
arbaminch2   ; drying.bed           ;    0.89441 ; odor = 0.67 ,  energyrecov = 1 ,  precov = 1 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 1 ,  lifetime = 1 ,  temp = 0.98713 ,  flooding = 1 ,  area = 0.503 ,  access = 0.692 ,  slope = 0.515 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.31 ,  relconstraints = 1 
arbaminch2   ; motorized.transport  ;    0.89147 ; odor = 0.67 ,  precov = 0.5 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  omreq = 0.761 ,  lifetime = 1 ,  area = 1 ,  access = 1 ,  slope = 0.92349 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.4025 ,  relconstraints = 0.898 ,  popdensity = 1 
arbaminch2   ; struvite.production  ;    0.89078 ; odor = 1 ,  precov = 1 ,  drinkexp = 1 ,  concrete = 1 ,  chemical = 0.183 ,  lifetime = 0.91962 ,  flooding = 1 ,  area = 0.811 ,  slope = 0.93885 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.4 
arbaminch2   ; uddt                 ;    0.89057 ; odor = 1 ,  precov = 1 ,  normexp = 0.49082 ,  waterreq = 1 ,  concrete = 1 ,  lifetime = 1 ,  flooding = 0.5 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.696 ,  relconstraints = 1 
arbaminch2   ; solidsfree.sewer     ;    0.88922 ; odor = 1 ,  precov = 0.5 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  omreq = 0.754 ,  lifetime = 1 ,  area = 0.639 ,  access = 1 ,  slope = 0.94269 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 0.8 ,  orgcapacity = 0.745 ,  relconstraints = 0.802 ,  popdensity = 0.934 
arbaminch2   ; septic.tank          ;    0.88149 ; odor = 1 ,  precov = 0 ,  drinkexp = 1 ,  waterreq = 1 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.7575 ,  lifetime = 1 ,  climate = 1 ,  flooding = 0.5 ,  area = 0.801 ,  access = 0.717 ,  slope = 0.93674 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.799 
arbaminch2   ; humanpowered.transport ;    0.87991 ; odor = 0.67 ,  precov = 0.5 ,  waterreq = 1 ,  energyreq = 1 ,  concrete = 1 ,  omreq = 0.7525 ,  lifetime = 0.31841 ,  area = 1 ,  access = 1 ,  slope = 0.91059 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.807 ,  popdensity = 1 
arbaminch2   ; uasb                 ;    0.87623 ; odor = 0.67 ,  energyrecov = 1 ,  precov = 1 ,  waterreq = 1 ,  energyreq = 0.804 ,  concrete = 1 ,  chemical = 1 ,  omreq = 0.767 ,  lifetime = 1 ,  temp = 0.832 ,  flooding = 1 ,  area = 0.67 ,  access = 0.719 ,  slope = 0.93898 ,  soil = 1 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 0.8 ,  orgcapacity = 0.277 ,  relconstraints = 0.799 
arbaminch2   ; cistern.flush        ;    0.85209 ; odor = 1 ,  precov = 0.5 ,  normexp = 0.83203 ,  waterreq = 0.085 ,  concrete = 1 ,  lifetime = 1 ,  flooding = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 1 ,  relconstraints = 0.808 
arbaminch2   ; soak.pit             ;    0.84317 ; odor = 1 ,  precov = 0 ,  drinkexp = 1 ,  concrete = 1 ,  chemical = 1 ,  lifetime = 1 ,  flooding = 0 ,  area = 0.947 ,  slope = 0.9367 ,  soil = 0.901 ,  groundwater = 1 ,  excavation = 1 ,  constrskill = 1 ,  designskill = 1 ,  omskill = 1 ,  orgcapacity = 0.706 
