 ;dry.toilet;uddt;pour.flush;cistern.flush;urinal;micro.flush;single.pit;double.pit;dehydration.vault;septic.tank;vermi.composter;urine.storage.tank;fossa.alterna;terra.preta;humanpowered.transport;motorized.transport;simplified.sewer;solidsfree.sewer;conventional.sewer;abr;wsp;vf.constructed.wetland;biogas.reactor;drying.bed;uasb;hf.constructed.wetland;cocomposting;struvite.production;application.urine;application.compost;irrigation;soak.pit;biogas.combustion;vertical.gardens;application.struvite
attr7;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor;odor
;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat
;c(low=0, moderate=0, high=1);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=0, moderate=1, high=0);c(low=0.5, moderate=0.5, high=0);c(low=0, moderate=0, high=1);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=0, moderate=1, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=0, moderate=1, high=0);c(low=0, moderate=1, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=0, moderate=1, high=0);c(low=0, moderate=1, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=0, moderate=0, high=1);c(low=1, moderate=0, high=0);c(low=0, moderate=1, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0);c(low=1, moderate=0, high=0)
attr8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr10;;;;;;;;;;;;;;;;;;;;energyrecov;energyrecov;energyrecov;energyrecov;energyrecov;energyrecov;energyrecov;energyrecov;energyrecov;;;;;;;
;;;;;;;;;;;;;;;;;;;;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;;;;;;;
;;;;;;;;;;;;;;;;;;;;c(important=1, notimportant=1);c(important=1, notimportant=1);c(important=1, notimportant=1);c(important=1, notimportant=0);c(important=1, notimportant=1);c(important=1, notimportant=0);c(important=1, notimportant=1);c(important=1, notimportant=1);c(important=1, notimportant=1);;;;;;;
attr11;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov;precov
;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat
;c(important=0.5, notimportant=1);c(important=1, notimportant=0.5);c(important=0.5, notimportant=1);c(important=0.5, notimportant=1);c(important=1, notimportant=0.5);c(important=1, notimportant=1);c(important=0.5, notimportant=1);c(important=1, notimportant=1);c(important=1, notimportant=1);c(important=0, notimportant=1);c(important=1, notimportant=1);c(important=1, notimportant=0);c(important=1, notimportant=0.5);c(important=1, notimportant=0);c(important=0.5, notimportant=1);c(important=0.5, notimportant=1);c(important=0.5, notimportant=1);c(important=0.5, notimportant=1);c(important=0.5, notimportant=1);c(important=1, notimportant=1);c(important=1, notimportant=1);c(important=1, notimportant=1);c(important=1, notimportant=0);c(important=1, notimportant=1);c(important=1, notimportant=0);c(important=1, notimportant=1);c(important=1, notimportant=1);c(important=1, notimportant=0);c(important=1, notimportant=0);c(important=1, notimportant=0);c(important=1, notimportant=1);c(important=0, notimportant=1);c(important=1, notimportant=1);c(important=1, notimportant=1);c(important=1, notimportant=0)
attr12;exposure_use;exposure_use;exposure_use;exposure_use;exposure_use;exposure_use;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;dcat;dcat;dcat;dcat;dcat;dcat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;c(low=0, medium=0.5, high=0.5);c(low=0, medium=0.5, high=0.5);c(low=0.33, medium=0.34, high=0.33);c(low=0.5, medium=0.5, high=0);c(low=0.5, medium=0.5, high=0);c(low=0.5, medium=0.5, high=0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr16;;;;;;;drinkexp;drinkexp;drinkexp;drinkexp;drinkexp;drinkexp;drinkexp;drinkexp;;;;;;;;;;;;;;;drinkexp;drinkexp;drinkexp;drinkexp;drinkexp;drinkexp;drinkexp
;;;;;;;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;;;;;;;;;;;;;;;pcat;pcat;pcat;pcat;pcat;pcat;pcat
;;;;;;;c(closer=0, notcloser=1);c(closer=0, notcloser=1);c(closer=0.5, notcloser=1);c(closer=0.5, notcloser=1);c(closer=1, notcloser=1);c(closer=1, notcloser=1);c(closer=1, notcloser=1);c(closer=1, notcloser=1);;;;;;;;;;;;;;;c(closer=1, notcloser=1);c(closer=1, notcloser=1);c(closer=1, notcloser=1);c(closer=0, notcloser=1);c(closer=1, notcloser=1);c(closer=1, notcloser=1);c(closer=1, notcloser=1)
attr17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr18;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;waterreq;;;;;;;
;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;;;;;;;
;c(house=1, yard=1, public=1, none=1);c(house=1, yard=1, public=1, none=1);c(house=1, yard=1, public=0, none=0);c(house=1, yard=0, public=0, none=0);c(house=1, yard=1, public=1, none=1);c(house=1, yard=1, public=1, none=0);c(house=1, yard=1, public=1, none=1);c(house=1, yard=1, public=1, none=1);c(house=1, yard=1, public=1, none=1);c(house=1, yard=1, public=0, none=0);c(house=1, yard=1, public=1, none=1);c(house=1, yard=1, public=1, none=1);c(house=1, yard=1, public=1, none=1);c(house=1, yard=1, public=1, none=1);c(house=1, yard=1, public=1, none=1);c(house=1, yard=1, public=1, none=1);c(house=1, yard=1, public=0, none=0);c(house=1, yard=1, public=0, none=0);c(house=1, yard=0, public=0, none=0);c(house=1, yard=1, public=0, none=0);c(house=1, yard=1, public=1, none=0);c(house=1, yard=1, public=1, none=0);c(house=1, yard=1, public=1, none=0);c(house=1, yard=1, public=1, none=0);c(house=1, yard=1, public=0, none=0);c(house=1, yard=1, public=1, none=0);c(house=1, yard=1, public=1, none=1);c(house=1, yard=1, public=1, none=1);;;;;;;
attr19;;;;;;;;;;;;;;;energyreq;energyreq;energyreq;energyreq;energyreq;energyreq;energyreq;energyreq;energyreq;energyreq;energyreq;energyreq;energyreq;energyreq;;;;;;;
;;;;;;;;;;;;;;;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;;;;;;;
;;;;;;;;;;;;;;;c(energy=1, noenergy=1);c(energy=1, noenergy=1);c(energy=1, noenergy=1);c(energy=1, noenergy=1);c(energy=1, noenergy=0.5);c(energy=1, noenergy=1);c(energy=1, noenergy=1);c(energy=1, noenergy=0);c(energy=1, noenergy=1);c(energy=1, noenergy=1);c(energy=1, noenergy=0);c(energy=1, noenergy=1);c(energy=1, noenergy=1);c(energy=1, noenergy=0);;;;;;;
attr20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr22;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete;concrete
;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat
;c(concrete=1, noconcrete=0.5);c(concrete=1, noconcrete=0.5);c(concrete=1, noconcrete=0.5);c(concrete=1, noconcrete=0.5);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=0);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=0);c(concrete=1, noconcrete=0);c(concrete=1, noconcrete=0);c(concrete=1, noconcrete=0);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=0);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1);c(concrete=1, noconcrete=1)
attr23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr24;;;;;;;chemical;chemical;chemical;chemical;chemical;chemical;chemical;chemical;;;;;;chemical;chemical;chemical;chemical;chemical;chemical;chemical;chemical;chemical;;;;;;;
;;;;;;;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;;;;;;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;;;;;;;
;;;;;;;c(chemicals=1, nochemicals=1);c(chemicals=1, nochemicals=1);c(chemicals=1, nochemicals=1);c(chemicals=1, nochemicals=1);c(chemicals=1, nochemicals=1);c(chemicals=1, nochemicals=1);c(chemicals=1, nochemicals=1);c(chemicals=1, nochemicals=1);;;;;;c(chemicals=1, nochemicals=1);c(chemicals=1, nochemicals=1);c(chemicals=1, nochemicals=1);c(chemicals=1, nochemicals=1);c(chemicals=1, nochemicals=1);c(chemicals=1, nochemicals=1);c(chemicals=1, nochemicals=1);c(chemicals=1, nochemicals=1);c(chemicals=1, nochemicals=0);;;;;;;
attr25;;;;;;;omreq;omreq;omreq;omreq;omreq;omreq;omreq;omreq;omreq;omreq;omreq;omreq;omreq;omreq;omreq;omreq;omreq;omreq;omreq;omreq;omreq;omreq;;;;;;;
;;;;;;;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;;;;;;;
;;;;;;;c(regular=1, irregular=1);c(regular=1, irregular=0.5);c(regular=1, irregular=0.5);c(regular=1, irregular=0.5);c(regular=1, irregular=0.5);c(regular=1, irregular=0);c(regular=1, irregular=0.5);c(regular=1, irregular=0);c(regular=1, irregular=0.5);c(regular=1, irregular=0.5);c(regular=1, irregular=0.5);c(regular=1, irregular=0.5);c(regular=1, irregular=1);c(regular=1, irregular=0.5);c(regular=1, irregular=0.5);c(regular=1, irregular=0);c(regular=1, irregular=0);c(regular=1, irregular=1);c(regular=1, irregular=0.5);c(regular=1, irregular=0.5);c(regular=1, irregular=0.5);c(regular=1, irregular=0);;;;;;;
attr26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr30;;;;;;;climate;climate;climate;climate;climate;climate;climate;climate;;;;;;;;;;;;;;;;;;;;;
;;;;;;;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;;;;;;;;;;;;;;;;;;;;;
;;;;;;;c(trop=1, dry=1, subtrop=1, cont=1, pol=1);c(trop=1, dry=1, subtrop=1, cont=1, pol=1);c(trop=1, dry=1, subtrop=1, cont=1, pol=1);c(trop=1, dry=1, subtrop=1, cont=1, pol=1);c(trop=1, dry=1, subtrop=1, cont=1, pol=1);c(trop=1, dry=1, subtrop=1, cont=1, pol=1);c(trop=1, dry=1, subtrop=1, cont=1, pol=0);c(trop=1, dry=1, subtrop=1, cont=1, pol=0);;;;;;;;;;;;;;;;;;;;;
attr31;;;;;;;;;;;;;;;;;;;;temp;temp;temp;temp;temp;temp;temp;temp;temp;;;;;;;
;;;;;;;;;;;;;;;;;;;;prange;prange;ptrapez;prange;ptrapez;prange;ptrapez;prange;prange;;;;;;;
;;;;;;;;;;;;;;;;;;;;lower=15, upper=35;lower=12, upper=+Inf;a=0, b=10, c=32, d=+Inf;lower=15, upper=+Inf;a=0, b=20, c=+Inf, d=+Inf;lower=20, upper=+Inf;a=0, b=20, c=+Inf, d=+Inf;lower=15, upper=+Inf;lower=0, upper=+Inf;;;;;;;
attr32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
attr33;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding;;;;;;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding;flooding
;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;;;;;;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat
;c(flooding=1, noflooding=1);c(flooding=0.5, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1);c(flooding=0, noflooding=1);c(flooding=0, noflooding=1);c(flooding=1, noflooding=1);c(flooding=0.5, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1);c(flooding=0.5, noflooding=1);c(flooding=0.5, noflooding=1);;;;;;c(flooding=0.5, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1);c(flooding=0, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1);c(flooding=1, noflooding=1)
attr34;;;;;;;area;area;area;area;area;area;area;area;area;area;area;area;area;area;area;area;area;area;area;area;area;area;area;area;area;area;area;area;area
;;;;;;;ptrapez;ptrapez;ptrapez;prange;prange;ptrapez;ptrapez;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange;prange
;;;;;;;a=2, b=5, c=+Inf, d=+Inf;a=2, b=5, c=+Inf, d=+Inf;a=5, b=7, c=+Inf, d=+Inf;lower=5, upper=+Inf;lower=2, upper=+Inf;a=0, b=2, c=+Inf, d=+Inf;a=2, b=5, c=+Inf, d=+Inf;lower=2, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=8, upper=+Inf;lower=0, upper=+Inf;lower=7, upper=+Inf;lower=5, upper=+Inf;lower=5, upper=+Inf;lower=7, upper=+Inf;lower=10, upper=+Inf;lower=7, upper=+Inf;lower=5, upper=+Inf;lower=5, upper=+Inf;lower=5, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=2, upper=+Inf;lower=0, upper=+Inf;lower=10, upper=+Inf;lower=0, upper=+Inf
attr35;;;;;;;access;access;access;access;access;access;access;access;access;access;access;access;access;access;access;access;access;access;access;access;access;access;;;;;;;
;;;;;;;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;;;;;;;
;;;;;;;c(noaccess=0, narrow=0, full=1);c(noaccess=0, narrow=1, full=1);c(noaccess=0, narrow=1, full=1);c(noaccess=0, narrow=0, full=1);c(noaccess=0, narrow=1, full=1);c(noaccess=1, narrow=1, full=1);c(noaccess=0, narrow=1, full=1);c(noaccess=0, narrow=1, full=1);c(noaccess=1, narrow=1, full=1);c(noaccess=0, narrow=1, full=1);c(noaccess=1, narrow=1, full=1);c(noaccess=1, narrow=1, full=1);c(noaccess=1, narrow=1, full=1);c(noaccess=0, narrow=0, full=1);c(noaccess=0, narrow=0, full=1);c(noaccess=0, narrow=1, full=1);c(noaccess=0, narrow=1, full=1);c(noaccess=0, narrow=0, full=1);c(noaccess=0, narrow=0, full=1);c(noaccess=0, narrow=1, full=1);c(noaccess=0, narrow=1, full=1);c(noaccess=1, narrow=1, full=1);;;;;;;
attr36;;;;;;;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope;slope
;;;;;;;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;prange;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;prange;prange;prange;prange;ptrapez;prange;prange;ptrapez;prange;prange;prange;ptrapez;prange;prange;prange
;;;;;;;a=0, b=0, c=5, d=25;a=0, b=0, c=5, d=25;a=0, b=0, c=5, d=25;a=0, b=0, c=5, d=25;a=0, b=0, c=5, d=25;lower=0, upper=+Inf;a=0, b=0, c=5, d=25;a=0, b=0, c=5, d=25;a=0, b=0, c=5, d=20;a=0, b=0, c=5, d=20;a=0.5, b=1, c=+Inf, d=+Inf;a=0, b=1, c=+Inf, d=+Inf;a=0.5, b=1, c=+Inf, d=+Inf;a=0, b=0, c=5, d=25;lower=0, upper=5;lower=0, upper=5;lower=0, upper=+Inf;lower=0, upper=5;a=0, b=0, c=5, d=25;lower=0, upper=5;lower=0, upper=+Inf;a=0, b=0, c=5, d=25;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf;a=0, b=0, c=5, d=25;lower=0, upper=+Inf;lower=0, upper=+Inf;lower=0, upper=+Inf
attr37;;;;;;;soil;soil;soil;soil;soil;soil;soil;soil;;;;;;soil;soil;soil;soil;soil;soil;soil;soil;soil;soil;soil;soil;soil;soil;soil;soil
;;;;;;;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;;;;;;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat
;;;;;;;c(clayey=0, silty=1, sandy=0.5, gravelly=0.5);c(clayey=0, silty=1, sandy=0.5, gravelly=0.5);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=0, silty=1, sandy=0.5, gravelly=0.5);c(clayey=1, silty=1, sandy=1, gravelly=1);;;;;;c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=0, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1);c(clayey=1, silty=1, sandy=1, gravelly=1)
attr38;;;;;;;groundwater;groundwater;groundwater;groundwater;groundwater;groundwater;groundwater;groundwater;;;;;;groundwater;groundwater;groundwater;groundwater;groundwater;groundwater;groundwater;groundwater;groundwater;groundwater;groundwater;groundwater;groundwater;groundwater;groundwater;groundwater
;;;;;;;ptrapez;ptrapez;prange;ptrapez;prange;prange;ptrapez;prange;;;;;;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;prange;ptrapez;prange;prange;prange;prange;prange;ptrapez;prange;prange;prange
